tableId,started,ended,time,username,score,winner,bid,building.10a,building.10b,building.11a,building.11b,building.12a,building.12b,building.13a,building.13b,building.1a,building.1b,building.2a,building.2b,building.3a,building.3b,building.4a,building.4b,building.5a,building.5b,building.6a,building.6b,building.7a,building.7b,building.8a,building.8b,building.9a,building.9b,building.A,building.B,building.C,building.D,building.E,building.F,building.G,cowboys,craftsmen,deliveries.ALBUQUERQUE,deliveries.CHICAGO,deliveries.CLEVELAND,deliveries.COLORADO_SPRINGS,deliveries.COLUMBIA,deliveries.DENVER,deliveries.DETROIT,deliveries.EL_PASO,deliveries.GREEN_BAY,deliveries.KANSAS_CITY,deliveries.MEMPHIS,deliveries.MILWAUKEE,deliveries.MINNEAPOLIS,deliveries.MONTREAL,deliveries.NEW_YORK_CITY,deliveries.PITTSBURGH,deliveries.SACRAMENTO,deliveries.SANTA_FE,deliveries.SAN_DIEGO,deliveries.SAN_FRANCISCO,deliveries.ST_LOUIS,deliveries.TOPEKA,deliveries.TORONTO,deliveries.WICHITA,engineers,handLimit,permCerts,players,rttn,score.BID,score.BUILDINGS,score.CATTLE_CARDS,score.CITIES,score.DOLLARS,score.EXTRA_STEP_POINTS,score.HAZARDS,score.JOB_MARKET_TOKEN,score.OBJECTIVE_CARDS,score.STATIONS,score.STATION_MASTERS,score.WORKERS,seat,stepLimit,stops.10a,stops.10b,stops.11a,stops.11b,stops.12a,stops.12b,stops.13a,stops.13b,stops.1a,stops.1b,stops.2a,stops.2b,stops.3a,stops.3b,stops.4a,stops.4b,stops.5a,stops.5b,stops.6a,stops.6b,stops.7a,stops.7b,stops.8a,stops.8b,stops.9a,stops.9b,stops.A,stops.B,stops.C,stops.D,stops.E,stops.F,stops.G,stops.hazard,stops.teepee,tempCertLimit,tempCerts,turns
3b1b4d56-e0c7-4041-a9f5-d9b2ded9cd80,2021-03-19T20:10:44Z,2021-03-19T21:45:37Z,94,bastanteraro,57,N,,,,,,,,,,E-2,,,,ROCKFALL-RISK-2,,,,,,,,,,,,,,A,B,C,D,E,F,G,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,6,0,2,N,0,2,23,11,2,3,5,2,9,0,0,0,1,4,,,,,,,,,0,,,,6,,,,,,,,,,,,,,2,2,3,4,6,6,1,0,0,4,1,30
2bf837ef-d444-474f-a28e-856cf25055c2,2020-09-11T17:02:54Z,2020-09-11T18:26:23Z,83,mehdiriazi,81,N,,,,,,,,,,,B-3,A-3,,,ROCKFALL-RISK-2,,G-2,,,,,,,,,,,D,G,C,E,F,A,B,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,0,3,N,0,8,34,15,4,3,11,0,3,3,0,0,2,6,,,,,,,,,,1,1,,,4,,4,,,,,,,,,,,3,4,5,1,5,3,4,0,0,4,0,31
2bf837ef-d444-474f-a28e-856cf25055c2,2020-09-11T17:02:54Z,2020-09-11T18:26:23Z,83,andyfritz,82,Y,,,,,,,,,,,B-1,F-2,,,,,G-1,,,,,,,,,,,D,G,C,E,F,A,B,4,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,3,N,0,5,32,3,5,3,12,0,13,3,6,0,1,6,,,,,,,,,,0,2,,,,,4,,,,,,,,,,,3,3,4,4,4,3,3,0,0,4,2,30
2bf837ef-d444-474f-a28e-856cf25055c2,2020-09-11T17:02:54Z,2020-09-11T18:26:23Z,83,joe,60,N,,,E-1,,,,,,,,C-2,,,,,,F-1,,,,,,,,E-2,,,D,G,C,E,F,A,B,2,2,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,3,N,0,23,6,-12,4,3,0,2,3,23,8,0,3,6,,5,,,,,,,,0,,,,,,2,,,,,,,,5,,,3,5,5,2,4,0,5,0,0,6,1,30
64b420c6-78b0-4d52-94a3-d18fe9dd99b9,2020-11-21T08:25:28Z,2020-11-21T09:49:00Z,83,brijwhiz,100,N,,,,,,,,,,,,,,DROUGHT-RISK-1,,,,,,,,,,,,,,C,B,E,F,D,A,G,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,6,2,2,N,0,1,22,33,3,3,7,0,13,6,12,0,2,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,4,6,5,5,4,5,0,0,6,3,43
64b420c6-78b0-4d52-94a3-d18fe9dd99b9,2020-11-21T08:25:28Z,2020-11-21T09:49:00Z,83,vee,103,Y,,,,,,,,,,,,,,,,,,B-1,,ROCKFALL-RISK-2,,,,,,,,C,B,E,F,D,A,G,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,6,1,2,N,0,9,23,33,5,3,10,2,3,3,12,0,1,5,,,,,,,,,,,,,,,,,3,,3,,,,,,,,6,6,3,6,6,4,5,0,0,4,0,42
525d3023-cc11-46df-af56-abf16ae9d302,2021-03-16T05:00:00Z,2021-03-21T17:33:38Z,7953,gilbertq,59,N,,,,,,,,,,,F-1,,E-2,,,,,,,,,,,,,,,B,D,C,G,A,E,F,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,6,1,3,Y,0,2,22,15,0,3,4,0,3,6,4,0,3,6,,,,,,,,,,0,,5,,,,,,,,,,,,,,,3,2,4,4,5,2,4,0,0,4,2,35
525d3023-cc11-46df-af56-abf16ae9d302,2021-03-16T05:00:00Z,2021-03-21T17:33:38Z,7953,justtoni,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,C,G,A,E,F,4,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,6,0,3,Y,0,0,15,-6,0,3,10,0,8,8,10,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,6,3,3,5,6,0,0,4,3,35
525d3023-cc11-46df-af56-abf16ae9d302,2021-03-16T05:00:00Z,2021-03-21T17:33:38Z,7953,nmgara,88,Y,,,,,,,,,,,E-1,,,,C-1-2,,F-2,,,,,,B-1,,,,,B,D,C,G,A,E,F,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5,6,0,3,Y,0,13,16,4,3,3,7,2,11,10,15,4,2,4,,,,,,,,,,0,,,,1,,3,,,,,,1,,,,,5,4,0,5,4,5,5,0,0,4,1,35
e255b175-d13a-4b4d-b0ff-27b3ae2d0322,2021-02-12T11:58:05Z,2021-02-12T12:37:55Z,39,moritz,55,Y,0,,,,,,,,,B-1,,,,,,ROCKFALL-RISK-2,,,,,,,,,,,,D,B,G,C,A,E,F,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,4,3,2,N,0,4,9,2,5,3,7,2,6,5,12,0,2,5,,,,,,,,,3,,,,,,1,,,,,,,,,,,,2,3,1,3,2,2,4,0,0,4,1,26
